Address Number,Alpha Name,Or Ty,Contract Number,Fund ,Fund,Cst Ctr / Job,Cost Center / Job,Obj Acct,Obj Account Description,2nd Item Number,2nd Item Number,Extended Price,Amount Received,Amount Open
147651,FERRI DESIGN & CONSTRUCT,OS,49770,29040,GRANTS FUND,  0141005012,DISTRICT 5 NEIGHBORHOOD NEEDS,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,966.67","1,966.67",0.00
64122,SMITH & BOWEN,OS,48972,28050,SENIOR CITIZENS PROG TF,      500000,PARKS AND RECREATION,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"52,198.44","52,198.44",0.00
8250,BOYS & GIRLS CLUBS OF WESTERN PA,OS,49251,28050,SENIOR CITIZENS PROG TF,  5000285000,SENIOR CITEZENS PROG TF,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"12,900.00","12,900.00",0.00
302,GOODWILL OF SOUTHWESTERN PENNSYLVANIA,OS,50026,11101,GENERAL FUND,      210000,PS - ADMIN AND SUPPORT SERVICE,53529,PROTECTIVE / INVESTIGATION,49472,GOODWILL OF SW PA,"125,000.00","125,000.00",0.00
47256,"ASSOCIATED INVESTORS, INC.",OS,37975,11101,GENERAL FUND,      999900,CIVILIAN REVIEW BOARD,54501,LAND & BUILDINGS,561800,RENT-OFFICE,"25,000.00","25,000.00",0.00
315238,UPMC/LIFESOLUTIONS,OS,48540,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,52309,LEGAL - W/C,1633,WORKERS COMP,"70,850.00","67,696.00",0.00
43302,CENTER FOR EMERGENCY MEDICINE OF W. PA.,OS,48962,11101,GENERAL FUND,      220000,PS - EMERGENCY MED SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"10,724.00","10,724.00",0.00
199879,FIRST VEHICLE SERVICES,OS,48970,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54201,MAINTENANCE,525100,MAINTENANCE,"448,126.50","448,126.50",0.00
199879,FIRST VEHICLE SERVICES,OS,48970,11101,GENERAL FUND,      121000,FINANCE - BPFAS,56501,PARTS,558700,REPAIRS-OUTSIDE-OTHER,"30,000.00","30,000.00",0.00
664,URBAN REDEVELOPMENT AUTHORITY,OS,33531,11101,GENERAL FUND,      121000,FINANCE - BPFAS,53701,REPAIRS,561000,REPAIRS,"173,994.10","173,994.10",0.00
7706,ALLEGHENY CITY ELECTRIC,OS,49170,40012,Project Fund-2012 Bond,  1129400012,KING MELLON ARTWRK CONSERVATIO,53701,REPAIRS,5083,03F.CDBG,"9,530.06","9,202.98",0.00
161028,A.G. MAURO CO.,OS,49665,40001,CAP PROJ - PROJ FUND,  4424573303,LINCOLN PLACE REC. CENTER,53701,REPAIRS,5083,03F.CDBG,"2,552.75","2,552.75",0.00
7706,ALLEGHENY CITY ELECTRIC,OS,49170,29040,GRANTS FUND,  1129400012,KING MELLON ARTWRK CONSERVATIO,53901,PROFESSIONAL SERVICES - CONVER,5223,DCP PROFESSIONAL SERVICES,"19,383.92","19,383.92",0.00
7706,ALLEGHENY CITY ELECTRIC,OS,49781,40012,Project Fund-2012 Bond,  4023101112,BRIDGE REPAIRS,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,325.13","3,325.13",0.00
96200,"DEPASQUALE, PETER N. & MARIE",OS,42822,11101,GENERAL FUND,      420000,PW- BUREAU OF PW OPERATIONS,54501,LAND & BUILDINGS,1360,RENTAL (PROPERTIES & EQUIPMENT,"7,555.66","7,555.66",0.00
309527,ALLEGHENY COUNTY CONTROLLER,OS,48211,11101,GENERAL FUND,      121000,FINANCE - BPFAS,53901,PROFESSIONAL SERVICES - CONVER,526100,CITY/COUNTY PURCHASING AGRMNT,"50,000.00","50,000.00",0.00
169594,"WESTERN PARTNERS, LTD.",OS,42275,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54501,LAND & BUILDINGS,561800,RENT-OFFICE,"27,812.40","27,812.40",0.00
147344,VIGLIOTTI LANDSCAPING & CONSTRUCTION,OS,49408,40012,Project Fund-2012 Bond,  4424573303,LINCOLN PLACE REC. CENTER,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,024.46","3,024.46",0.00
802,ALLEGHENY FENCE CONSTRUCTION CO,OS,49483,40012,Project Fund-2012 Bond,  4424573303,LINCOLN PLACE REC. CENTER,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","14,933.60","14,933.60",0.00
169594,"WESTERN PARTNERS, LTD.",OS,42275,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54501,LAND & BUILDINGS,561800,RENT-OFFICE,"115,441.67","115,441.67",0.00
310722,JOHNSTONE SUPPLY,OS,494881,40012,Project Fund-2012 Bond,  4022700311,BUILDING MAINTENANCE PROG,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","6,978.56","6,978.56",0.00
311161,ANIMAL RESCUE LEAGUE OF W PA INC,OS,48564,11101,GENERAL FUND,      280000,PS - BUREAU OF ANIMAL CARE AND,53533,ANIMAL SERVICES,523800,ANIMAL SERVICES,"19,466.00","19,466.00",0.00
1467,COMMUNITY TECHNICAL ASSISTANCE CENTER,OS,50035,26010,CDBG FUND,  1156900120,CITIZEN PARTICIPATION,58101,GRANTS,5157,21A.CDBG,"162,000.00","162,000.00",0.00
129522,LAWRENCEVILLE UNITED,OS,50036,26010,CDBG FUND,  1121000120,COMMUNITY-BASED ORGANIZATION,58101,GRANTS,5146,18B.CDBG,"50,000.00","50,000.00",0.00
129522,LAWRENCEVILLE UNITED,OS,50036,26010,CDBG FUND,  1121000120,COMMUNITY-BASED ORGANIZATION,58101,GRANTS,5146,18B.CDBG,"15,000.00","15,000.00",0.00
129522,LAWRENCEVILLE UNITED,OS,50036,26010,CDBG FUND,  1121000120,COMMUNITY-BASED ORGANIZATION,58101,GRANTS,5146,18B.CDBG,"10,000.00","10,000.00",0.00
46732,HAZELWOOD INITIATIVE,OS,50037,26010,CDBG FUND,  0129131120,HAZELWOOD INITIATIVE,58101,GRANTS,5146,18B.CDBG,"30,000.00","30,000.00",0.00
46732,HAZELWOOD INITIATIVE,OS,50037,26010,CDBG FUND,  0129131120,HAZELWOOD INITIATIVE,58101,GRANTS,5146,18B.CDBG,"5,000.00","5,000.00",0.00
78924,BELTZHOOVER CIVIC ASSN./HILLTOP ALLIANCE,OS,50038,26010,CDBG FUND,  1121000120,COMMUNITY-BASED ORGANIZATION,58101,GRANTS,5146,18B.CDBG,"30,000.00","30,000.00",0.00
89558,JOHN WEINSTEIN,OS,49192,11101,GENERAL FUND,      107000,FINANCE,53509,COMPUTER MAINTANACE,5026,JDE ERP HELP&SUPPORT SERVICES,"1,100,000.00","1,100,000.00",0.00
9149,LGA PARTNERS LP,OS,48831,28045,SCHENLEY PARK RINK TF,  4426739910,ARCHITECTURAL ENG SERV,54201,MAINTENANCE,525100,MAINTENANCE,"46,450.00","46,450.00",0.00
78684,"I & Y CONSTRUCTION, LLC",OS,49671,40012,Project Fund-2012 Bond,  4026734810,BALL FIELD LIGHTING,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","87,691.85","79,088.06",0.00
311395,UPMC MERCY,OS,494813,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,52309,LEGAL - W/C,525300,MEDICAL EXAMS,"150,000.00","150,000.00",0.00
295412,NATL. CHURCH RESIDENCES/RIVERVIEW MANOR,OS,50039,26010,CDBG FUND,  0123054120,RIVERVIEW MANOR,58101,GRANTS,5101,05A.CDBG,"1,000.00","1,000.00",0.00
307901,"THREE RIVERS COMMUNITIES, INC.",OS,50041,26020,EMERGENCY SHELTERS PROG TF,  1125015110,EMERGENCY SHELTER - 2011,58101,GRANTS,1637,HOMELESS PREVENTION,"25,000.00","25,000.00",0.00
129339,OAKLAND BUSINESS IMPROVEMENT DISTRICT,OS,50042,26010,CDBG FUND,  0123124120,OAKLAND BUSINESS IMPROVEMENT D,58101,GRANTS,5169,05V.CDBG,"11,000.00","11,000.00",0.00
87265,CARRICK COMMUNITY COUNCIL,OS,50044,26010,CDBG FUND,  0123317110,CARRICKCOMMUNITY COUNCIL- COMP,58101,GRANTS,5100,05.CDBG,"25,000.00","25,000.00",0.00
226748,NEIGHBORHOOD LEGAL SERVICES ASSN.,OS,50045,26010,CDBG FUND,  0129904120,NEIGHBORHOOD LEGAL SERVICES,58101,GRANTS,5103,05C.CDBG,"1,500.00","1,500.00",0.00
154181,MACEDONIA FACE,OS,50046,26010,CDBG FUND,  0129118120,MACEDONIA FAMILY & COMMUNITY E,58101,GRANTS,5104,05D.CDBG,"4,000.00","4,000.00",0.00
293132,EARTHEN VESSELS OUTREACH,OS,50047,26010,CDBG FUND,  0123240120,EARTHEN VESSELS OUTREACH,58101,GRANTS,5104,05D.CDBG,"2,000.00","2,000.00",0.00
5521,COMMUNITY HUMAN SERVICES CORP.,OS,50048,26020,EMERGENCY SHELTERS PROG TF,  1125015110,EMERGENCY SHELTER - 2011,58101,GRANTS,1637,HOMELESS PREVENTION,"177,993.00","177,993.00",0.00
65113,PENNSYLVANIA RESOURCES COUNCIL,OS,50049,26010,CDBG FUND,  0123151120,PENNSYLVANIA RESOURCES COUNCIL,58101,GRANTS,5100,05.CDBG,"2,000.00","2,000.00",0.00
170907,ROYAL NETHERLANDS EMBASSY/CONSULATE GNRL,OS,50043,40011,CAPITAL PROJECTS - 2006 BOND,  1125613210,PLANNING & MANAGEMENT,53901,PROFESSIONAL SERVICES - CONVER,5223,DCP PROFESSIONAL SERVICES,"6,500.00","6,500.00",0.00
199879,FIRST VEHICLE SERVICES,OS,48970,11101,GENERAL FUND,      121000,FINANCE - BPFAS,56501,PARTS,558700,REPAIRS-OUTSIDE-OTHER,"174,360.71","174,360.71",0.00
107576,"PLAVCHAK CONSTRUCTION CO., INC.",OS,48981,40012,Project Fund-2012 Bond,  4045000100,PARK RECONSTRUCTION PROG - EC,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","17,005.00","17,005.00",0.00
107576,"PLAVCHAK CONSTRUCTION CO., INC.",OS,48981,40012,Project Fund-2012 Bond,  4045000100,PARK RECONSTRUCTION PROG - EC,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","4,092.43","4,092.43",0.00
107576,"PLAVCHAK CONSTRUCTION CO., INC.",OS,48981,40012,Project Fund-2012 Bond,  4045000100,PARK RECONSTRUCTION PROG - EC,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,570.59","10,570.59",0.00
7370,POWELL MECHANICAL,OS,49686,40012,Project Fund-2012 Bond,  0229500001,EECBG STIMULUS DOE,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,935.41","3,935.41",0.00
7706,ALLEGHENY CITY ELECTRIC,OS,49170,40012,Project Fund-2012 Bond,  1129400012,KING MELLON ARTWRK CONSERVATIO,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,170.50","5,170.50",0.00
147344,VIGLIOTTI LANDSCAPING & CONSTRUCTION,OS,49408,40012,Project Fund-2012 Bond,  4424573303,LINCOLN PLACE REC. CENTER,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL",873.34,873.34,0.00
315298,"VAUGHAN ROOFING, INC.",OS,49989,40012,Project Fund-2012 Bond,  4022700312,BUILDING MAINTENANCE PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","6,464.00","6,464.00",0.00
252358,STEINBERGER FLOORS INC,OS,49621,40012,Project Fund-2012 Bond,  0127100099,CITY CLERK'S OFFICE MODERNIZE,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","24,898.47","24,898.47",0.00
170551,"EXPEDIENT HOLDINGS USA, LLC",OS,47613,11101,GENERAL FUND,      103000,INNOVATION & PERFORMANCE,54301,BUILDING - GENERAL,556100,REPAIRS-BUILDING,"9,540.00","9,540.00",0.00
85542,"DISCOVERY BENEFITS, INC.",OS,49694,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,52111,OTHER INSUR/BENEFITS,1624,EMPLOYEE BENEFITS,"8,900.00","8,900.00",0.00
169594,"WESTERN PARTNERS, LTD.",OS,42275,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54501,LAND & BUILDINGS,561800,RENT-OFFICE,253.00,253.00,0.00
169594,"WESTERN PARTNERS, LTD.",OS,42275,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54501,LAND & BUILDINGS,561800,RENT-OFFICE,"115,441.67","115,441.67",0.00
5926,"MICHAEL FACCHIANO CONTRACTING, INC.",OS,50090,40012,Project Fund-2012 Bond,  4026734512,BROOKLINE BLVD,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,750,000.00","3,750,000.00",0.00
5926,"MICHAEL FACCHIANO CONTRACTING, INC.",OS,50090,40012,Project Fund-2012 Bond,  4026734512,BROOKLINE BLVD,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,823,080.97","1,823,080.97",0.00
196716,"MICHAEL BAKER JR., INC.",OS,44835,40001,CAP PROJ - PROJ FUND,  4026734609,BROOKLINE BLVD.,53901,PROFESSIONAL SERVICES - CONVER,1419,"MAINT. ,REPAIR &  OPERATIONAL","2,000.00","2,000.00",0.00
196716,"MICHAEL BAKER JR., INC.",OS,44835,40001,CAP PROJ - PROJ FUND,  4026734609,BROOKLINE BLVD.,53901,PROFESSIONAL SERVICES - CONVER,1419,"MAINT. ,REPAIR &  OPERATIONAL","73,124.95","73,124.95",0.00
7370,POWELL MECHANICAL,OS,48500,28085,GREEN INITIATIVE TRUST FUND,  0229500001,EECBG STIMULUS DOE,54305,BUILDING - SYSTEMS,1284,INFRASTRUCTURE.STREET LIGHTS,"26,853.20","26,853.20",0.00
334390,HOME DEPOT CREDIT SERVICES,OS,45753,40012,Project Fund-2012 Bond,  4022700312,BUILDING MAINTENANCE PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL",224.70,224.70,0.00
147344,VIGLIOTTI LANDSCAPING & CONSTRUCTION,OS,49408,40012,Project Fund-2012 Bond,  4424573303,LINCOLN PLACE REC. CENTER,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,406.66","3,151.66",0.00
85007,JEFFREY ASSOCIATES,OS,494928,40012,Project Fund-2012 Bond,  4024100212,PLAY AREA IMPROVEMENT,53701,REPAIRS,5083,03F.CDBG,"1,915.00","1,915.00",0.00
322262,"CDI-INFRASTRUCTURE, LLC DBA L.R. KIMBALL",OS,48984,26010,CDBG FUND,  4433041040,PENN AVENUE RECONSTRUCTION,58101,GRANTS,5088,03K.CDBG,"20,956.83","20,956.83",0.00
47332,HERTZ EQUIPMENT RENTAL CORP,OS,48350,40012,Project Fund-2012 Bond,  4023910309,SLOPE FAILURE REMEDIATION,53701,REPAIRS,1242,"MAINT. ,REPAIR &  OPERATIONAL","19,951.77","19,951.77",0.00
199879,FIRST VEHICLE SERVICES,OS,48970,11101,GENERAL FUND,      121000,FINANCE - BPFAS,56501,PARTS,558700,REPAIRS-OUTSIDE-OTHER,"168,248.98","168,248.98",0.00
63861,PARKING LOT PAINTING COMPANY,OS,49552,40011,CAPITAL PROJECTS - 2006 BOND,  4020590506,TRAIL DEVELOPMENT,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","36,447.70","36,447.70",0.00
63861,PARKING LOT PAINTING COMPANY,OS,49552,40011,CAPITAL PROJECTS - 2006 BOND,  4020590506,TRAIL DEVELOPMENT,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","14,277.23","14,277.23",0.00
199879,FIRST VEHICLE SERVICES,OS,48970,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54201,MAINTENANCE,525100,MAINTENANCE,"448,126.50","448,126.50",0.00
306227,PHILIPS MEDICAL SYSTEMS,OS,49473,11101,GENERAL FUND,      220000,PS - EMERGENCY MED SERVICES,53725,MAINTENANCE - MISC,1463,MAINTENANCE CONTRACTS,"44,455.23","44,455.23",0.00
62412,STANDARD HOLDING COMPANY,OS,49448,11101,GENERAL FUND,      230000,PS - POLICE BUREAU,54501,LAND & BUILDINGS,561950,RENT-WAREHOUSE,"9,852.40","9,852.40",0.00
310722,JOHNSTONE SUPPLY,OS,494881,40012,Project Fund-2012 Bond,  4022700311,BUILDING MAINTENANCE PROG,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL",64.41,64.41,0.00
7370,POWELL MECHANICAL,OS,49686,40012,Project Fund-2012 Bond,  0229500001,EECBG STIMULUS DOE,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","14,727.16","14,727.16",0.00
161028,A.G. MAURO CO.,OS,49665,40012,Project Fund-2012 Bond,  4424573303,LINCOLN PLACE REC. CENTER,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,320.60","1,320.60",0.00
180519,TRANE,OS,495285,40012,Project Fund-2012 Bond,  4022700312,BUILDING MAINTENANCE PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,900.00","5,900.00",0.00
310722,JOHNSTONE SUPPLY,OS,494881,40012,Project Fund-2012 Bond,  4022700311,BUILDING MAINTENANCE PROG,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,566.93","3,566.93",0.00
96200,"DEPASQUALE, PETER N. & MARIE",OS,50092,11101,GENERAL FUND,      420000,PW- BUREAU OF PW OPERATIONS,56151,OPERATIONAL SUPPLIES,1360,RENTAL (PROPERTIES & EQUIPMENT,"98,000.00","98,000.00",0.00
172507,"JEGASOTHY, S. MANOJ",OS,50076,11101,GENERAL FUND,      110000,CITY PLANNING,53901,PROFESSIONAL SERVICES - CONVER,5223,DCP PROFESSIONAL SERVICES,"13,000.00","13,000.00",0.00
165219,"GORECZNY, ANTHONY J., Ph. D.",OS,50086,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,55301,EMPLOYMENT RELATED,5229,CONSULTING SERVICES,"23,490.00","23,475.00",0.00
64131,"EXECUCORE, INC.",OS,50087,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,55301,EMPLOYMENT RELATED,5229,CONSULTING SERVICES,"9,990.00","9,990.00",0.00
154392,"PAUL M. BERNSTEIN, PhD.",OS,50088,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,55301,EMPLOYMENT RELATED,5229,CONSULTING SERVICES,"6,480.00","6,390.00",0.00
173104,"PRY, RICHARD, Ph. D.",OS,50089,11101,GENERAL FUND,      109000,PERSONNEL/CIVIL SERVICE,55301,EMPLOYMENT RELATED,5229,CONSULTING SERVICES,"6,480.00","6,480.00",0.00
238077,"URBAN DESIGN VENTURES, L.L.C.",OS,49575,26010,CDBG FUND,  1156332110,CDBG ADMINISTRATIVE COSTS,58101,GRANTS,5156,20.CDBG,"3,310.42","3,310.42",0.00
238077,"URBAN DESIGN VENTURES, L.L.C.",OS,49575,26010,CDBG FUND,  1156332110,CDBG ADMINISTRATIVE COSTS,58101,GRANTS,5156,20.CDBG,"5,279.42","5,279.42",0.00
238077,"URBAN DESIGN VENTURES, L.L.C.",OS,49575,26010,CDBG FUND,  1156332110,CDBG ADMINISTRATIVE COSTS,58101,GRANTS,5156,20.CDBG,"16,410.16","16,410.16",0.00
205529,"PITTSBURGH COMMUNITY SERVICES, INC.",OS,50052,26010,CDBG FUND,  0121390120,PITTSBURGH COMMUNITY SERVICES-,58101,GRANTS,5170,05W.CDBG,"200,000.00","200,000.00",0.00
62738,PITTSBURGH COMMUNITY SVCS./SAFETY,OS,50059,26010,CDBG FUND,  0121391120,PITTSBURGH COMMUNITY SERVICES-,58101,GRANTS,5109,05I.CDBG,"70,000.00","70,000.00",0.00
290564,ANGEL'S PLACE INC.,OS,50060,26010,CDBG FUND,  0223096120,ANGEL'S PLACE,58101,GRANTS,5104,05D.CDBG,"4,000.00","4,000.00",0.00
290564,ANGEL'S PLACE INC.,OS,50060,26010,CDBG FUND,  0223096120,ANGEL'S PLACE,58101,GRANTS,5104,05D.CDBG,"6,000.00","6,000.00",0.00
166140,SPRING HILL CIVIC LEAGUE,OS,50061,26010,CDBG FUND,  0121267120,SPRING HILL CIVIC LEAGUE- CC,58101,GRANTS,5100,05.CDBG,"5,000.00","5,000.00",0.00
172128,CHILDREN 2 CHAMPIONS,OS,50065,26010,CDBG FUND,  0130003110,CHILDREN 2 CHAMPIONS,58101,GRANTS,5104,05D.CDBG,"2,000.00","2,000.00",0.00
166158,LITTLE SISTERS OF THE POOR OF PA.,OS,50066,26010,CDBG FUND,  0130005060,LITTLE SISTERS OF THE POOR,58101,GRANTS,5101,05A.CDBG,"1,000.00","1,000.00",0.00
172208,CONSUMER HEALTH COALITION,OS,50072,26010,CDBG FUND,  0129178120,CONSUMER HEALTH COALITION,58101,GRANTS,5113,05M.CDBG,"1,000.00","1,000.00",0.00
172371,GARFIELD YOUTH SPORTS,OS,50075,26010,CDBG FUND,  0223346120,GARFIELD YOUTH SPORTS C/O BLOO,58101,GRANTS,5104,05D.CDBG,"5,000.00","5,000.00",0.00
2404,PITTSBURGH ACTION AGAINST RAPE,OS,50078,26010,CDBG FUND,  0129655120,PITTSBURGH ACTION AGAINST RAPE,58101,GRANTS,5100,05.CDBG,"13,000.00","13,000.00",0.00
2404,PITTSBURGH ACTION AGAINST RAPE,OS,50078,26010,CDBG FUND,  0129655120,PITTSBURGH ACTION AGAINST RAPE,58101,GRANTS,5100,05.CDBG,"13,223.89","13,223.89",0.00
2404,PITTSBURGH ACTION AGAINST RAPE,OS,50078,26010,CDBG FUND,  0129655120,PITTSBURGH ACTION AGAINST RAPE,58101,GRANTS,5100,05.CDBG,"30,000.00","30,000.00",0.00
2404,PITTSBURGH ACTION AGAINST RAPE,OS,50078,26010,CDBG FUND,  0129655120,PITTSBURGH ACTION AGAINST RAPE,58101,GRANTS,5100,05.CDBG,"16,776.11","16,776.11",0.00
322196,YMCA OF PITTSBURGH- HOMEWOOD BRANCH,OS,50079,26010,CDBG FUND,  0223082110,YMCA/ HOMEWOOD BRANCH,58101,GRANTS,5104,05D.CDBG,"5,000.00","5,000.00",0.00
322196,YMCA OF PITTSBURGH- HOMEWOOD BRANCH,OS,50079,26010,CDBG FUND,  0223082110,YMCA/ HOMEWOOD BRANCH,58101,GRANTS,5104,05D.CDBG,"5,000.00","5,000.00",0.00
325000,"SUMMIT SCHOOL, INC. d/b/a SUMMIT ACADEMY",OS,50080,26010,CDBG FUND,  0123305120,"Summit School, Inc.",58101,GRANTS,5104,05D.CDBG,"2,500.00","2,500.00",0.00
226249,BRIGHTON HEIGHTS CITIZENS FEDERATION,OS,50091,40001,CAP PROJ - PROJ FUND,  0141001012,DISTRICT 1 NEIGHBORHOOD NEEDS,58101,GRANTS,566000,GRANTS,"5,000.00",0.00,0.00
196129,CENTER FOR VICTIMS,OS,50094,26010,CDBG FUND,  0128990120,CENTER VICTIM VIOLENT CRIME- C,58101,GRANTS,5100,05.CDBG,"2,000.00","2,000.00",0.00
196129,CENTER FOR VICTIMS,OS,50094,26010,CDBG FUND,  0128990120,CENTER VICTIM VIOLENT CRIME- C,58101,GRANTS,5100,05.CDBG,"15,000.00","15,000.00",0.00
196129,CENTER FOR VICTIMS,OS,50094,26010,CDBG FUND,  0128990120,CENTER VICTIM VIOLENT CRIME- C,58101,GRANTS,5100,05.CDBG,"16,246.08","16,246.08",0.00
196129,CENTER FOR VICTIMS,OS,50094,26010,CDBG FUND,  0128990120,CENTER VICTIM VIOLENT CRIME- C,58101,GRANTS,5100,05.CDBG,"12,253.92","12,253.92",0.00
196129,CENTER FOR VICTIMS,OS,50094,26010,CDBG FUND,  0128990120,CENTER VICTIM VIOLENT CRIME- C,58101,GRANTS,5100,05.CDBG,"16,500.00","16,500.00",0.00
196129,CENTER FOR VICTIMS,OS,50098,26010,CDBG FUND,  0129972120,PITTSBURGH MEDIATION CENTER,58101,GRANTS,5100,05.CDBG,"12,000.00","12,000.00",0.00
7706,ALLEGHENY CITY ELECTRIC,OS,49170,40012,Project Fund-2012 Bond,  1129400012,KING MELLON ARTWRK CONSERVATIO,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,514.20","4,774.37",0.00
161028,A.G. MAURO CO.,OS,49665,40012,Project Fund-2012 Bond,  4424573303,LINCOLN PLACE REC. CENTER,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL",646.80,646.80,0.00
6078,GEORGE M. HALL CO.,OS,49798,40012,Project Fund-2012 Bond,  4022700312,BUILDING MAINTENANCE PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL",834.10,834.10,0.00
173379,CONTINENTAL FLOORING CO.,OS,49666,40012,Project Fund-2012 Bond,  4022700312,BUILDING MAINTENANCE PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL",160.00,160.00,0.00
119,WW GRAINGER INCORPORATED,OS,48768,40012,Project Fund-2012 Bond,  4024200009,POOL REHABILITATION,56401,MATERIALS,1242,"MAINT. ,REPAIR &  OPERATIONAL",667.35,667.35,0.00
7370,POWELL MECHANICAL,OS,48500,40012,Project Fund-2012 Bond,  0229500001,EECBG STIMULUS DOE,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,141.75","5,141.75",0.00
6834,CARL'S TREE SERVICE & LANDSCAPING,OS,47749,40012,Project Fund-2012 Bond,  4024100212,PLAY AREA IMPROVEMENT,53701,REPAIRS,5083,03F.CDBG,"27,075.00","27,075.00",0.00
240502,ARBOREL TREE SERVICE,OS,49010,40012,Project Fund-2012 Bond,  4024592012,TREE MAINTENANCE PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","29,995.00","29,995.00",0.00
9149,LGA PARTNERS LP,OS,48831,40001,CAP PROJ - PROJ FUND,  4426739910,ARCHITECTURAL ENG SERV,53901,PROFESSIONAL SERVICES - CONVER,1419,"MAINT. ,REPAIR &  OPERATIONAL","25,109.00","8,454.62",0.00
320790,"A & A CONSULTANTS, INC",OS,50027,40012,Project Fund-2012 Bond,  4467399110,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","12,363.71","12,363.71",0.00
320790,"A & A CONSULTANTS, INC",OS,50027,40012,Project Fund-2012 Bond,  4467399110,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","61,892.07",0.00,0.00
81009,"MS CONSULTANTS, INC.",OS,49638,40012,Project Fund-2012 Bond,  4467399110,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","4,945.13",945.47,0.00
64397,"CAMP DRESSER & MCKEE, INC.",OS,48829,40012,Project Fund-2012 Bond,  4051000040,ARCH/ENGINEERING SERVICES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","50,000.00","50,000.00",0.00
1490,"TROY HILL CITIZENS, INC.",OS,50121,40001,CAP PROJ - PROJ FUND,  0141001012,DISTRICT 1 NEIGHBORHOOD NEEDS,58101,GRANTS,566000,GRANTS,"10,000.00","10,000.00",0.00
295988,UHL CONSTRUCTION COMPANY INCORPORATED,OS,47612,40012,Project Fund-2012 Bond,  4024500012,PARK RECONSTRUCTION PROGRAM,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","54,000.00","54,000.00",0.00
