Contract Type,Agreement #,JDE Vendor #,Submitting Department/Division,Vendor Name,Start Date,End Date,Executive Action #,Box #,Transaction Type,Year,Requestor Email,Contract Status,OK to Show Web
OU,179725,128308,HUMAN SERVICES,GOODWILL OF SOUTHWESTERN PENNS,7/1/2015,6/30/2016,618815;670415,270,,,,CONTRACT REVIEW,Y
OU,177796,126594,HUMAN SERVICES,ECHO INTERNATIONAL,7/1/2015,6/30/2016,604015;665715,270,,,,CONTRACT REVIEW,Y
OU,179476,135320,HUMAN SERVICES,PASSAVANT MEMORIAL HOMES,7/1/2015,6/30/2016,604815;670415,270,,,,CONTRACT REVIEW,Y
OU,176824,1425932,HUMAN SERVICES,INDEPENDENCE PROFESSIONALS LLC,7/1/2015,6/30/2016,588315;670315,270,,,,CONTRACT REVIEW,Y
OU,177833,141010,JUVENILE COURT PLACEMENT,WOMENS CENTER  SHELTER,7/1/2015,6/30/2016,605215;678815,270,,,,CONTRACT REVIEW,Y
OU,178607,138053,HUMAN SERVICES,SETON CENTER,7/1/2015,6/30/2016,583915;675615,270,,,,CONTRACT REVIEW,Y
OU,178227,124929,ECONOMIC DEVELOPMENT,COMMUNITY HUMAN SERVICES CORP,7/1/2015,6/30/2016,6733-15,270,,,,CONTRACT REVIEW,Y
OU,182498,1350787,ECONOMIC DEVELOPMENT,FAMILY PROMISE OF SOUTHWESTERN,7/1/2015,6/30/2016,6068-15,270,,,,CONTRACT REVIEW,
OU,179414,773330,HUMAN SERVICES,GWENS GIRLS INC,7/1/2015,6/30/2016,6696-15,270,,,,CONTRACT REVIEW,Y
OU,182484,1569386,HUMAN SERVICES,BARRON BRUCE,7/1/2015,6/30/2016,6028-15,270,,,,CONTRACT REVIEW,Y
OU,178045,122805,JUVENILE COURT PLACEMENT,AUBERLE HOME,7/1/2015,6/30/2016,6701-15,270,,,,CONTRACT REVIEW,Y
OU,178275,141225,ECONOMIC DEVELOPMENT,ALLEGHENY VALLEY ASSOC OF CHUR,7/1/2015,6/30/2016,6073-15,270,,,,CONTRACT REVIEW,Y
OU,178895,141225,ECONOMIC DEVELOPMENT,ALLEGHENY VALLEY ASSOC OF CHUR,7/1/2015,6/30/2016,6227-15,270,,,,CONTRACT REVIEW,Y
OU,177702,140311,HUMAN SERVICES,VINTAGE INC,7/1/2015,6/30/2016,6689-15,270,,,,CONTRACT REVIEW,
OU,179621,138483,HUMAN SERVICES,WESLEY SPECTRUM SERVICES,7/1/2015,6/30/2016,6697-15,270,,,,CONTRACT REVIEW,Y
OU,178761,126012,HUMAN SERVICES,CENTER FOR VICTIMS,7/1/2015,6/30/2016,6671-15,270,,,,CONTRACT REVIEW,Y
OU,182286,2224365,HUMAN SERVICES,COMMUNITY ACTION SOUTHWEST,7/1/2015,6/30/2016,6187-15,270,,,,CONTRACT REVIEW,
OU,176888,580461,HUMAN SERVICES,JEWISH COM CTR,7/1/2015,6/30/2016,5787-15,270,,,,CONTRACT REVIEW,
OU,177131,124159,HUMAN SERVICES,CATHOLIC YOUTH ASSN,7/1/2015,6/30/2016,578815;668915,270,,,,CONTRACT REVIEW,
OU,178972,123236,HUMAN SERVICES,BETHANY CHRISTIAN SERVICE,7/1/2015,6/30/2016,6115-15;6674-15,270,,,,CONTRACT REVIEW,Y
OU,177116,1425931,HUMAN SERVICES,PAULA TEACHER  ASSOCIATES INC,7/1/2015,6/30/2016,588315;670315,270,,,,CONTRACT REVIEW,Y
OU,176867,121991,HUMAN SERVICES,ALLENTOWN SR CITIZENS CTR,7/1/2015,6/30/2016,578815;668915,270,,,,CONTRACT REVIEW,Y
OU,178014,99999999,HUMAN SERVICES,TREASURER OF ALLEG CO,7/1/2015,6/30/2016,603015;670015,270,,,,CONTRACT REVIEW,Y
OU,178106,123549,HUMAN SERVICES,BRADLEY CENTER INC,7/1/2015,6/30/2016,611515;667515,270,,,,CONTRACT REVIEW,Y
OU,178074,128053,HUMAN SERVICES,GEORGE JUNIOR REPUBLIC,7/1/2015,6/30/2016,619615;670215,270,,,,CONTRACT REVIEW,Y
OU,181996,139957,HUMAN SERVICES,UNIVERSITY OF PGH,7/1/2015,6/30/2016,5953-15,270,,,,CONTRACT REVIEW,
OU,182075,138371,ECONOMIC DEVELOPMENT,SOUTH HILLS AREA COUNCIL OF GO,7/1/2015,6/30/2016,6277-15,270,,,,CONTRACT REVIEW,
OU,182208,1802658,HUMAN SERVICES,JOHN PRAED FOUNDATION,7/1/2015,6/30/2016,6021-15,270,,,,CONTRACT REVIEW,Y
OU,177341,128308,ECONOMIC DEVELOPMENT,GOODWILL OF SOUTHWESTERN PENNS,7/1/2015,6/30/2016,593115;667215,270,,,,CONTRACT REVIEW,Y
OU,177695,129131,HUMAN SERVICES,HUMAN SERVICES ADMIN ORP,7/1/2015,6/30/2016,604815;649315;,270,,,,CONTRACT REVIEW,Y
OU,177550,99999999,HUMAN SERVICES,TREASURER OF ALLEG CO,7/1/2015,6/30/2016,608815;649315,270,,,,CONTRACT REVIEW,Y
OU,177341,128308,ECONOMIC DEVELOPMENT,GOODWILL OF SOUTHWESTERN PENNS,7/1/2015,6/30/2016,593115;667215,270,,,,CONTRACT REVIEW,Y
OU,177794,1552151,HUMAN SERVICES,GREATER VALLEY COMMUNITY SERVI,7/1/2015,6/30/2016,605015;6662-15,270,,,,CONTRACT REVIEW,Y
PI,48214,CITY ONLY,PURCHASING,CLEAN CAR EXPRESS,7/1/2015,6/30/2016,,270,,,,CONTRACT REVIEW,Y
OU,182031,124397,ECONOMIC DEVELOPMENT,CHAR-WEST COUNCIL OF GOVERNMEN,7/1/2015,6/30/2016,6439-15,269,,,,CONTRACT REVIEW,Y
OU,181970,124654,HUMAN SERVICES,CITY OF PITTSBURGH,7/1/2015,6/30/2016,5788-15,269,,,,CONTRACT REVIEW,
OU,181990,1446121,HUMAN SERVICES,PATHWAYS OF SOUTHWESTERN PA IN,7/1/2015,6/30/2016,6622-15,269,,,,CONTRACT REVIEW,Y
OU,181999,2200536,HUMAN SERVICES,YE FEIFEI,7/1/2015,6/30/2016,6163-15,269,,,,CONTRACT REVIEW,Y
OU,181999,2200536,HUMAN SERVICES,YE FEIFEI,7/1/2015,6/30/2016,6163-15,269,,,,CONTRACT REVIEW,Y
OU,179577,1794889,HUMAN SERVICES,ALLEGHENY FAMILY NETWORK,7/1/2015,6/30/2016,6149-15,269,,,,CONTRACT REVIEW,Y
OU,181976,139866,ECONOMIC DEVELOPMENT,TWIN RIVERS C O G,7/1/2015,6/30/2016,6539-15,269,,,,CONTRACT REVIEW,
OU,181827,2213708,COUNTY MANAGER,UNIVERSITY OF PITTSBURGH CENTE,7/1/2015,6/30/2017,6005-15,269,,,,CONTRACT REVIEW,Y
OU,181893,141086,HUMAN SERVICES,YMCA OF PITTSBURGH,7/1/2015,6/30/2016,6214-15,269,,,,CONTRACT REVIEW,
OU,181894,774836,HUMAN SERVICES,BIG BROTHERS BIG SISTERS OF GR,7/1/2015,6/30/2016,6304-15,269,,,,CONTRACT REVIEW,
OU,181890,121900,ECONOMIC DEVELOPMENT,ALLEGHENY VALLEY NORTH COG,7/1/2015,6/30/2016,6536-15,269,,,,CONTRACT REVIEW,Y
OU,181878,134852,ECONOMIC DEVELOPMENT,NORTH HILLS COG,7/1/2015,6/30/2016,6440-15,269,,,,CONTRACT REVIEW,Y
OU,181879,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,7/1/2015,6/30/2016,6512-15,269,,,,CONTRACT REVIEW,Y
OU,178929,126012,ECONOMIC DEVELOPMENT,CENTER FOR VICTIMS,7/1/2015,6/30/2016,6035-15,269,,,,CONTRACT REVIEW,Y
OU,178688,136698,HUMAN SERVICES,RENEWAL  INC,7/1/2015,6/30/2016,600815;649315,269,,,,CONTRACT REVIEW,Y
OU,178769,1090305,COURT OF COMMON PLEAS,UPMC PRESBYTERIAN SHADYSIDE DB,7/1/2015,6/30/2016,5552-15,269,,,,CONTRACT REVIEW,Y
OU,181832,2213437,HUMAN SERVICES,BOYER KRISTA J,7/1/2015,6/30/2016,6377-15,269,,,,CONTRACT REVIEW,Y
OU,177767,2007068,HUMAN SERVICES,CLEAN AND SOBER HUMANS ASSOC I,7/1/2015,6/30/2016,6088-15,269,,,,CONTRACT REVIEW,Y
OU,181189,122045,HUMAN SERVICES,ALTERNATIVE REHABILITATION COM,7/1/2015,6/30/2016,6194-15,268,,,,CONTRACT REVIEW,Y
OU,180981,121982,HUMAN SERVICES,ALLE-KISKI AREA HOPE CNTR,7/1/2015,6/30/2016,6021-15,268,,,,CONTRACT REVIEW,Y
OU,180975,131901,HUMAN SERVICES,LEWIS AMBULANCE SERVICE,7/1/2015,6/30/2016,6051-15,268,,,,CONTRACT REVIEW,Y
OU,180977,121915,HUMAN SERVICES,ALLEGHENY CO HOUSING AUTHORITY,7/1/2015,6/30/2016,6187-15,268,,,,CONTRACT REVIEW,Y
OU,180967,1974662,HUMAN SERVICES,PICKERINE CAROL H,7/1/2015,6/30/2016,6163-15,268,,,,CONTRACT REVIEW,Y
OU,181293,121949,JUVENILE COURT PLACEMENT,ALLEGHENY INTERMEDIATE UNIT,7/1/2015,6/30/2016,6087-15,268,,,,CONTRACT REVIEW,
OU,181294,132519,HUMAN SERVICES,MANCHESTER CRAFTSMENS GUILD,7/1/2015,6/30/2016,6052-15,268,,,,CONTRACT REVIEW,Y
OU,181313,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,7/1/2015,6/30/2016,6441-15,268,,,,CONTRACT REVIEW,Y
OU,181314,136336,ECONOMIC DEVELOPMENT,QUAKER VALLEY COG,7/1/2015,6/30/2016,6357-15,268,,,,CONTRACT REVIEW,Y
OU,181256,1546678,COURT OF COMMON PLEAS,EDUCATION AND TREATMENT ALTERN,7/1/2015,6/30/2017,6406-15,269,,,,CONTRACT REVIEW,Y
OU,181318,2218526,ECONOMIC DEVELOPMENT,HSBC BANK USA TRUSTEE COMMERCI,7/1/2015,8/31/2024,6511-15,269,,,,CONTRACT REVIEW,Y
OU,177565,134358,HUMAN SERVICES,NAMI SOUTHWESTERN PA,7/1/2015,6/30/2016,6051-15;177565,269,,,,CONTRACT REVIEW,Y
OU,181399,1799854,HUMAN SERVICES,DYER ERVIN,7/1/2015,6/30/2016,6039-15,269,,,,CONTRACT REVIEW,Y
OU,180496,135834,ECONOMIC DEV,PGH ACTION AGAINST RAPE,7/1/2015,6/30/2016,6379-15,268,,,,CONTRACT REVIEW,Y
OU,180499,124156,ECONOMIC DEVELOPMENT,CATHOLIC CHARITIES OF THE,7/1/2015,6/30/2016,6034-15,268,,,,CONTRACT REVIEW,Y
OU,180498,128001,ECONOMIC DEVELOPMENT,GENESIS OF PITTSBURGH INC,7/1/2015,6/30/2016,6072-15,268,,,,CONTRACT REVIEW,Y
OU,180640,136036,HUMAN SERVICES,PITTSBURGH SENIOR NEWS,7/1/2015,6/30/2016,5839-15,268,,,,CONTRACT REVIEW,Y
OU,180641,660664,HUMAN SERVICES,"ARBOR E & T, LLC",7/1/2015,6/30/2016,6052-15,268,,,,CONTRACT REVIEW,Y
OU,180642,2161660,HUMAN SERVICES,COORDINATED CARE SERV INC,7/1/2015,6/30/2016,6028-15,268,,,,CONTRACT REVIEW,Y
OU,180584,2211613,HEALTH,THE TRUSTEES OF THE UNIVERSITY,7/1/2015,6/30/2018,5678-15,268,,,,CONTRACT REVIEW,Y
OU,180657,139825,KANE REGIONAL CENTERS,TRI-STATE MOBILE X-RAY,7/1/2015,6/30/2016,6404-15,268,,,,CONTRACT REVIEW,Y
PI,48573,CITY ONLY,PURCHASING,JEFFREY ASSOC,7/1/2015,6/30/2017,,268,,,,CONTRACT REVIEW,Y
PI,48566,1528879,PURCHASING,TAB PRODUCTS CO LLC JETER SYSTEMS,7/1/2015,6/30/2016,,268,,,,CONTRACT REVIEW,Y
OU,180464,121596,HUMAN SERVICES,ADELPHOI VILLAGE INC,7/1/2015,6/30/2016,6375-15,268,,,,CONTRACT REVIEW,Y
OU,180361,1168779,ECONOMIC DEVELOPMENT,MON VALLEY INIITIATIVE,7/1/2015,12/31/2015,6308-15,268,,,,CONTRACT REVIEW,Y
OU,180355,138658,ECONOMIC DEVELOPMENT,STEEL VALLEY COG,7/1/2015,6/30/2016,6278-15,268,,,,CONTRACT REVIEW,Y
OU,180351,138658,ECONOMIC DEVELOPMENT,STEEL VALLEY COG,7/1/2015,6/30/2016,6276-15,268,,,,CONTRACT REVIEW,Y
OU,180491,128996,HUMAN SERVICES,HILLTOP COMMUNITY,7/1/2015,6/30/2016,6115-15,268,,,,CONTRACT REVIEW,Y
OJ,180348,126114,EMERGENCY MANAGEMENT,PEOPLES NATURAL GAS,7/1/2015,6/30/2020,5939-15,268,,,,CONTRACT REVIEW,Y
OU,177814,142657,HUMAN SERVICES,DIVERSIFIED CARE MANAGEMENT LL,7/1/2015,6/30/2016,6476-15,268,,,,CONTRACT REVIEW,Y
OU,179484,128236,HUMAN SERVICES,GLEN MILLS SCHOOLS,7/1/2015,6/30/2015,6150-15,265,REBUDGET,2015,NOAM.FISCHHOFF@ALLEGHENYCOUNTY.US,CONTRACT REVIEW,Y
OU,180365,2206155,HUMAN SERVICES,HAPPY AT HOME IN HOME CARE INC,7/1/2015,6/30/2016,,267,,,,CONTRACT REVIEW,Y
OU,180282,1659416,HUMAN SERVICES,LANDMARK HOME HEALTH CARE SERV,7/1/2015,6/30/2016,6051-15,267,,,,CONTRACT REVIEW,Y
OU,180347,2121317,HUMAN SERVICES,BETH OSBORNE DAPONTE DBA SOCIA,7/1/2015,6/30/2016,6039-15,267,,,,CONTRACT REVIEW,Y
OJ,180151,555555,MEDICAL EXAMINER,CORE,7/1/2015,6/30/2016,6217-15,267,,,,CONTRACT REVIEW,Y
OU,180149,141119,DEVELOPMENT,YWCA OF GREATER PGH,7/1/2015,10/30/2016,6067*-15,267,,,,CONTRACT REVIEW,Y
OU,166688,124159,ECONOMIC DEVELOPMENT,CATHOLIC YOUTH ASSN,7/1/2015,6/30/2015,6166-14,267,,,,CONTRACT REVIEW,Y
OU,180165,140639,COURT OF COMMON PLEAS,WEST PUBLISHING CORP DBA THOMS,7/1/2015,6/30/2018,6046-13,267,,,,CONTRACT REVIEW,Y
OU,180136,136437,HUMAN SERVICES,RAINBOW KITCHEN,7/1/2015,6/30/2016,6052-15,267,,,,CONTRACT REVIEW,Y
OU,180133,136333,JUVENILE COURT PLACEMENT,PYRAMID HEALTHCARE INC,7/1/2015,6/30/2016,6150-15,267,,,,CONTRACT REVIEW,Y
OU,180161,99999999,ECONOMIC DEVELOPMENT,TREASURER OF ALLEG CO,7/1/2015,6/30/2016,6062-15,267,,,,CONTRACT REVIEW,Y
OU,180143,99999999,ECONOMIC DEVELOPMENT,TREASURER OF ALLEG CO,7/1/2015,6/30/2016,6065-15,267,,,,CONTRACT REVIEW,Y
OU,180157,138371,ECONOMIC DEVELOPMENT,SOUTH HILLS AREA COUNCIL OF GO,7/1/2015,6/30/2016,6275-15,267,,,,CONTRACT REVIEW,Y
OU,180154,121982,ECONOMIC DEVELOPMENT,ALLE-KISKI AREA HOPE CNTR,7/1/2015,6/30/2016,6228-15,267,,,,CONTRACT REVIEW,Y
OU,180055,127381,HUMAN SERVICES,FAMILY LINKS INC,7/1/2015,6/30/2016,6051-15,266,,,,CONTRACT REVIEW,Y
OU,180072,124938,JUVENILE COURT PLACEMENT,COMMUNITY SPECIALISTS CORP,7/1/2015,6/30/2016,6196-15,,,,,CONTRACT REVIEW,Y
OU,180076,140282,HUMAN SERVICES,VETERANS LEADERSHIP PROGRAM OF,7/1/2015,6/30/2016,6134-15,267,,,,CONTRACT REVIEW,Y
OU,180071,141100,JUVENILE COURT PLACEMENT,YOUTH ENRICHMENT SERVICES INC,7/1/2015,6/30/2016,6196-15,267,,,,CONTRACT REVIEW,Y
OU,180056,135063,HUMAN SERVICES,OUTREACH TEEN  FAMILY,7/1/2015,6/30/2016,6136-15,267,,,,CONTRACT REVIEW,Y
OU,180061,141119,HUMAN SERVICES,YWCA OF GREATER PGH,7/1/2015,6/30/2016,6088-15,267,,,,CONTRACT REVIEW,Y
OU,180064,840164,HUMAN SERVICES,CALIFORNIA UNIVERSITY OF PENNS,7/1/2015,6/30/2016,6289-15,267,,,,CONTRACT REVIEW,Y
OU,179857,1725903,HUMAN SERVICES,POSITIVE STEPS THERAPY LLC,7/1/2015,6/30/2016,5950-15,267,,,,CONTRACT REVIEW,Y
OU,179727,140681,HUMAN SERVICES,WESTERN PSYCHIATRIC INSTITUTE,7/1/2015,6/30/2016,6136-15,266,,,,CONTRACT REVIEW,Y
OU,179725,128308,HUMAN SERVICES,GOODWILL OF SOUTHWESTERN PENNS,7/1/2015,6/30/2016,6188-15,266,,,,CONTRACT REVIEW,Y
OU,179729,1574568,HUMAN SERVICES,ALTERNATIVE LIVING SOLUTIONS,7/1/2015,6/30/2016,6095-15,266,,,,CONTRACT REVIEW,Y
OU,179715,134100,HUMAN SERVICES,MON YOUGH COMMUNITY SERV,7/1/2015,6/30/2016,6150-15,266,,,,CONTRACT REVIEW,Y
OU,179720,128579,HUMAN SERVICES,HARBORCREEK YOUTH,7/1/2015,6/30/2016,6150-15,266,,,,CONTRACT REVIEW,Y
OU,179723,139156,HUMAN SERVICES,THE BAIR FOUNDATION,7/1/2015,6/30/2016,6069-15,266,,,,CONTRACT REVIEW,Y
OU,179722,127950,HUMAN SERVICES,GATEWAY REHABILITATION CENTER,7/1/2015,6/30/2016,6150-15,266,,,,CONTRACT REVIEW,Y
OU,179719,1172528,PUBLIC WORKS OPERATING,BETHS BARRICADES,7/1/2015,6/30/2017,6300-15,266,,,,CONTRACT REVIEW,Y
OU,178045,122805,JUVENILE COURT PLACEMENT,AUBERLE HOME,7/1/2015,6/30/2016,6116-15,266,,,,CONTRACT REVIEW,Y
OU,178232,124929,HUMAN SERVICES,COMMUNITY HUMAN SERVICES CORP,7/1/2015,6/30/2016,607815;633615;,266,,,,CONTRACT REVIEW,Y
OU,179672,127515,ECONOMIC DEVELOPMENT,FIRST STEP RECOVERY HOMES,7/1/2015,6/30/2016,6246-15,266,,,,CONTRACT REVIEW,Y
OU,179664,140015,ECONOMIC DEVELOPMENT,URBAN LEAGUE OF PGH INC,7/1/2015,6/30/2016,6309-15,266,,,,CONTRACT REVIEW,Y
OU,179691,1150736,JUVENILE COURT PLACEMENT,NHS YOUTH SERVICES INC,7/1/2015,6/30/2016,6136-15,266,,,,CONTRACT REVIEW,Y
OU,179692,2113341,JUVENILE COURT PLACEMENT,TAYLOR DIVERSION PROGRAMS INC,7/1/2015,6/30/2016,6265-15,266,,,,CONTRACT REVIEW,Y
OU,179549,123629,ECONOMIC DEVELOPMENT,BRIDGE TO INDEPENDENCE,7/1/2015,6/30/2016,6069-15,266,,,,CONTRACT REVIEW,Y
OU,179541,1139393,ECONOMIC DEVELOPMENT,SOCIETY ST VIN DEPAUL,7/1/2015,6/30/2016,6071-15,266,,,,CONTRACT REVIEW,Y
OU,179550,786592,ECONOMIC DEVELOPMENT,THREE RIVERS COMMUNITIES INC,7/1/2015,6/30/2016,6066-15,266,,,,CONTRACT REVIEW,Y
OU,179676,121791,ECONOMIC DEVELOPMENT,ALLEGHENY COUNTY COMMUNITY COL,7/1/2015,6/30/2016,6288-15,266,,,,CONTRACT REVIEW,Y
OU,179634,1686489,HUMAN SERVICES,INVISION CUSTOMIZED SERVICES,7/1/2015,6/30/2016,6048-15,266,,,,CONTRACT REVIEW,Y
OU,179623,1521472,HUMAN SERVICES,AMERICAN EXPEDITING CO INC,7/1/2015,6/30/2016,6194-15,266,,,,CONTRACT REVIEW,Y
OU,179632,134886,HUMAN SERVICES,NHS PENNSYLVANIA,7/1/2015,6/30/2016,6136-15,266,,,,CONTRACT REVIEW,Y
OU,179587,140717,HUMAN SERVICES,WHITE DEER RUN,7/1/2015,6/30/2016,6136-15,266,,,,CONTRACT REVIEW,Y
OU,179589,132964,HUMAN SERVICES,MHY FAMILY SERVICES,7/1/2015,6/30/2016,6149-15,266,,,,CONTRACT REVIEW,Y
OU,179563,127959,HUMAN SERVICES,GAUDENZIA INC,7/1/2015,6/30/2016,6088-15,266,,,,CONTRACT REVIEW,Y
OU,179577,1794889,HUMAN SERVICES,ALLEGHENY FAMILY NETWORK,7/1/2015,6/30/2016,6149-15,266,,,,CONTRACT REVIEW,Y
OU,179683,136611,HEALTH,REDEVELOPMENT AUTHORITY OF ALL,7/1/2015,6/30/2016,6148-15,266,,,,CONTRACT REVIEW,Y
OU,179533,130950,HEALTH,JUST HARVEST,7/1/2015,6/30/2016,6153-15,266,,,,CONTRACT REVIEW,Y
OU,179603,138028,HUMAN SERVICES,SELECTIVE SOFTWARE INC,7/1/2015,6/30/2016,5926-15,266,,,,CONTRACT REVIEW,Y
OU,179621,138483,HUMAN SERVICES,WESLEY SPECTRUM SERVICES,7/1/2015,6/1/2016,6149-15,266,,,,CONTRACT REVIEW,Y
OU,179617,140015,HUMAN SERVICES,URBAN LEAGUE OF PGH INC,7/1/2015,6/30/2016,6115-15,266,,,,CONTRACT REVIEW,Y
OU,179449,139292,JUVENILE COURT PLACEMENT,SUMMIT SCHOOL INC,7/1/2015,6/30/2015,6149-15,265,,,,CONTRACT REVIEW,Y
OU,179488,588067,HUMAN SERVICES,LEVIT DAVID E DR,7/1/2015,6/30/2016,6088-15,265,,,,CONTRACT REVIEW,Y
OU,179484,128236,JUVENILE COURT PLACEMENT,GLENN MILLS SCHOOLS,7/1/2015,6/30/2016,6150-15,265,,,,CONTRACT REVIEW,Y
OU,179481,127589,HUMAN SERVICES,FOCUS ON RENEWAL/STO ROX,7/1/2015,6/30/2016,6052-15,265,,,,CONTRACT REVIEW,Y
OU,179437,135695,HUMAN SERVICES,PENN HILLS MUNICIPALITY,7/1/2015,6/30/2016,5839-15,265,,,,CONTRACT REVIEW,Y
OU,179506,1506479,HUMAN SERVICES,ACCULTURATION FOR JUSTICE ACCE,7/1/2015,6/30/2016,6049-15,265,,,,CONTRACT REVIEW,Y
OU,179434,1338305,HUMAN SERVICES,PA CONNECTING COMMUNITIES,7/1/2015,6/30/2016,5966-15,265,,,,CONTRACT REVIEW,Y
OU,179470,126574,HUMAN SERVICES,EASTER SEAL SOCIETY WESTERN PA,7/1/2015,6/30/2016,5906-16,265,,,,CONTRACT REVIEW,Y
OU,179492,1508756,HUMAN SERVICES,MELTING POT MINISTRIES,7/1/2015,6/30/2016,6095-15,,,,,CONTRACT REVIEW,Y
OU,179465,1090334,HUMAN SERVICES,KING AND ASSOCIATES INC,7/1/2015,6/30/2016,6104-15,265,,,,CONTRACT REVIEW,Y
OU,179442,1351728,HUMAN SERVICES,PEDIATRIC THERAPY PROFESSIONAL,7/1/2015,6/30/2016,5950-15,265,,,,CONTRACT REVIEW,Y
OU,179450,2076996,HUMAN SERVICES,ALTRUIT 2.0 INC,7/1/2015,6/30/2015,6039-15,265,,,,CONTRACT REVIEW,Y
OU,179456,129312,HUMAN SERVICES,INTERIM HEALTHCARE,7/1/2015,6/30/2016,6134-15,265,,,,CONTRACT REVIEW,Y
OU,179459,1017523,HUMAN SERVICES,CITIZENS TO ABOLISH DOMESTIC A,7/1/2015,6/30/2016,6052-15,265,,,,CONTRACT REVIEW,Y
OU,179453,124636,HUMAN SERVICES,CITIZEN CARE INC,7/1/2015,6/30/2016,5883-15,265,,,,CONTRACT REVIEW,Y
OU,179448,121904,HUMAN SERVICES,ALLEGHENY CHILDREN'S INTIATIV,7/1/2015,6/30/2016,6048-15,265,,,,CONTRACT REVIEW,Y
OU,179479,1121525,HUMAN SERVICES,SOUTH HILLS INTERFAITH MINISTRY,7/1/2015,6/30/2016,6050-15,265,,,,CONTRACT REVIEW,Y
OU,179477,139551,HUMAN SERVICES,THREE RIVERS ADOPTION COUNCIL,7/1/2015,6/30/2016,6134-15,265,,,,CONTRACT REVIEW,Y
OU,179476,135320,HUMAN SERVICES,PASSAVANT MEMORIAL HOMES,7/1/2015,6/30/2016,6048-15,265,,,,CONTRACT REVIEW,Y
OU,179469,135064,JUVENILE COURT PLACEMENT,OUTSIDE IN SCHOOL OF,7/1/2015,6/30/2016,6136-15,265,,,,CONTRACT REVIEW,Y
OU,179466,126639,HUMAN SERVICES,EDUCATIONAL DATA SYSTEMS,7/1/2015,6/30/2016,5926-15,265,,,,CONTRACT REVIEW,Y
OU,179357,135834,HUMAN SERVICES,PGH ACTION AGAINST RAPE,7/1/2015,7/1/2015,6/30/2016,264,,,,CONTRACT REVIEW,Y
OU,179361,832127,HUMAN SERVICES,AMERICAN BUYERS DISCOUNT MATTR,7/1/2015,6/30/2016,6194-15,264,,,,CONTRACT REVIEW,Y
OU,179371,128988,HUMAN SERVICES,HILL HOUSE ASSOCIATION,7/1/2015,6/30/2016,6048-15,264,,,,CONTRACT REVIEW,Y
OU,179412,127009,HUMAN SERVICES,ELWYN,7/1/2015,6/30/2016,5951-15,264,,,,CONTRACT REVIEW,Y
OU,179418,138294,HUMAN SERVICES,SIDS OF PENNSYLVANIA#RIBS FOR,7/1/2015,6/30/2016,6116-15,264,,,,CONTRACT REVIEW,Y
OU,179413,133695,HUMAN SERVICES,MERCY LIFE CENTER CORP DBA MER,7/1/2015,6/30/2016,6149-15,264,,,,CONTRACT REVIEW,Y
OU,179414,773330,HUMAN SERVICES,GWENS GIRLS INC,7/1/2015,6/30/2016,6150-15,264,,,,CONTRACT REVIEW,Y
OU,179405,1945391,HUMAN SERVICES,2900 JOHNSON STREET OPERATING,7/1/2015,6/30/2016,6022-15,264,,,,CONTRACT REVIEW,Y
OU,179404,136712,HUMAN SERVICES,RESOURCES FOR HUMAN,7/1/2015,6/30/2016,6078-15,264,,,,CONTRACT REVIEW,Y
OU,179419,1436376,HUMAN SERVICES,ZUCKOFF ALLAN,7/1/2015,6/30/2016,6104-15,264,,,,CONTRACT REVIEW,Y
OU,179409,2007051,HUMAN SERVICES,BORN REBECCA JEAN,7/1/2015,6/30/2016,6018-15,264,,,,CONTRACT REVIEW,Y
OU,179360,1623835,HUMAN SERVICES,GRAMMICH CLIFFORD A JR,7/1/2015,6/30/2017,6163-15,264,,,,CONTRACT REVIEW,Y
OU,179362,1632718,HUMAN SERVICES,MCELLIGOTT PATRICIA,7/1/2015,6/30/2016,6028-15,264,,,,CONTRACT REVIEW,Y
OU,179265,121563,ECONOMIC DEVELOPMENT,ACTION HOUSING INC,7/1/2015,6/30/2016,6229-15,264,,,,CONTRACT REVIEW,Y
OU,179196,133695,ECONOMIC DEVELOPMENT,MERCY LIFE CENTER CORP DBA MER,7/1/2015,7/1/2016,6108-15,264,,,,CONTRACT REVIEW,Y
OU,179284,133695,ECONOMIC DEVELOPMENT,MERCY LIFE CENTER CORP DBA MER,7/1/2015,6/30/2016,6063-15,264,,,,CONTRACT REVIEW,Y
OU,179267,133695,ECONOMIC DEVELOPMENT,MERCY LIFE CENTER CORP DBA MER,7/1/2015,6/30/2016,6064-15,264,,,,CONTRACT REVIEW,Y
OU,48547,127073,KANE REGIONAL CENTERS,ENRICH PRODUCTS,7/1/2015,6/30/2015,6137-15,264,,,,CONTRACT REVIEW,Y
OU,179258,124159,ECONIMIC DEVELOPMENT,CATHOLIC YOUTH ASSN,7/1/2015,6/30/2016,6070-15,264,,,,CONTRACT REVIEW,Y
PI,48551,CITY ONLY,PURCHASING,HDS MARKETING,7/1/2015,6/30/2016,6253-15,264,,,,CONTRACT REVIEW,Y
PI,48554,CITY ONLY,PURCHASING,ICOR TECHNOLOGY INC,7/1/2015,6/30/2016,6182-15,264,,,,CONTRACT REVIEW,Y
OU,179164,1735441,COURT OF COMMON PLEAS,TORNQUIST CRAIG,7/1/2015,12/31/2015,5928-15,263,,,,CONTRACT REVIEW,Y
